bag,num,id,info,layer,levallois,color,length,height,width,mass,last_removal,removal_faces,imperfections,material_imperfections,step_fractures,comments
34-102-60/749.3,0.01,34-102-60/749.3/0.01,513,b1,y,gray,43,42.2,20.6,34.7,10,1,n,0,0,11
34-102-60/749.3,0.02,34-102-60/749.3/0.02,513,b1,y,gray,47.5,38.6,24.6,41,29.5,1,n,0,0,12 - tiny step fractures
34-102-60/749.3,0.03,34-102-60/749.3/0.03,513,b1,y,gray,46,38.9,18.5,31.4,22.7,1,y,1,0,13
34-102-60/749.3,0.04,34-102-60/749.3/0.04,373,b1,y,gray,50,43.2,17.1,36.9,17,1,n,0,0,10
34-102-60/749.3,0.05,34-102-60/749.3/0.05,513,b1,y,gray,53.1,43.2,19.2,41.3,33.2,2,y,0,1,
34-102-60/749.3,0.06,34-102-60/749.3/0.06,513,b1,y,gray,43.1,39.5,20,39.1,17.6,1,y,0,2,
34-102-60/748.3,0.01,34-102-60/748.3/0.01,514,b1,y,gray,67.2,58.3,27.5,117.8,21.6,1,y,0,2,
34-102-60/748.3,0.02,34-102-60/748.3/0.02,514,b1,maybe,gray,66.5,60.3,24.3,120.5,64.3,2,n,0,0,
34-102-60/754,0.01,34-102-60/754/0.01,523,b2,maybe,gray,55.9,46.8,31.5,75.7,23.5,2,y,0,3,
34-102-60/17843,0.01,34-102-60/17843/0.01,575,b2,y,gray,44,36.7,14.5,25,28.4,2,n,0,0,burin taken out of it
34-102-60/17854,0.01,34-102-60/17854/0.01,589,b,y,gray-brown mottled,53.1,45.9,25,49.5,15.5,1,y,0,5,in a bag with 3 other chipped stones
33-86-60/480,0.01,33-86-60/480/0.01,480,b2,y,gray-white marbeled,76.7,63.3,27.9,106.9,18.1,1,n,0,0,
33-86-60/480,0.02,33-86-60/480/0.02,467,b1,y,tan,48.2,47.1,14,34.9,10.3,1,y,0,2,9
34-102-60/17804,0.01,34-102-60/17804/0.01,535,b,y,gray,110.5,95.1,52.1,715.9,35,1,y,0,1,
34-102-60/17824,0.01,34-102-60/17824/0.01,556,b1m,y,gray,38.4,33.3,19.4,26.1,23.4,1,n,0,0,15
34-102-60/17824,0.02,34-102-60/17824/0.02,556,b1n,y,gray,45.6,38.9,17.3,22.9,10.4,1,y,0,4,
34-102-60/17824,0.03,34-102-60/17824/0.03,556,b1n,y,gray,53.3,39.6,17,34.8,59.3,1,n,0,0,
34-102-60/17824,0.04,34-102-60/17824/0.04,556,b1n,y,gray,35.6,30.6,24.4,29.4,25.5,2,n,0,0,
34-102-60/17825,0.01,34-102-60/17825/0.01,557,b1n,y,gray,59.4,53.2,24.5,87.6,61,1,n,0,0,
37-22-60/3222,0.01,37-22-60/3222/0.01,n/a,b1n,y,tan,71.4,60.4,38.8,190.7,53.4,2,y,0,4,"18, step fracture very disruptive, probably caused it to be exhuasted"
37-22-60/3222,0.02,37-22-60/3222/0.02,n/a,b1n,y,tan,55.9,52.9,27.8,79.6,14.7,1,y,0,1,19
37-22-60/3221,0.01,37-22-60/3221/0.01,n/a,b1n,y,gray,34.2,29.7,19.5,22,18.3,1,y,0,1,
37-22-60/3221,0.02,37-22-60/3221/0.02,n/a,b1n,y,gray,35.3,34.9,14.5,20,11,1,y,0,1,16
37-22-60/3221,0.03,37-22-60/3221/0.03,n/a,b1n,y,gray,40.2,37.9,22.2,33.9,14.2,1,y,0,3,17
34-102-60/17823,0.01,34-102-60/17823/0.01,555,b1n,y,gray,60.9,53.4,20,62.8,52.1,1,y,0,2,
34-102-60/17823,0.02,34-102-60/17823/0.02,555,b1n,y,cream,62.5,58.7,24.6,101.8,52.2,1,y,0,2,
34-102-60/17823,0.03,34-102-60/17823/0.03,555,b1n,y,cream,56.8,53.2,35.3,94,n/a,1,n,0,0,covered in breccia
34-102-60/17823,0.04,34-102-60/17823/0.04,555,b1n,y,tan,58.4,50.5,18.4,67.9,23.5,1,y,0,3,
